name,ra,dec,fitting_bands_exclude,starsub_bands_exclude,fitting_min_semimaj_arcsec
NGC3665,171.1818,38.76279,,,122.2140874
NGC3666,171.10875,11.34198,,,104.021046
NGC3674,171.6108,57.04828,,,47.54680099
NGC3681,171.62415,16.8633,,,52.13402601
NGC3683,171.8826,56.87699,,,52.13402601
NGC3684,171.79665,17.03018,,,68.72603185
NGC3686,171.933,17.22409,,,86.52095269
NGC3691,172.0392,16.92044,,,44.37324726
NGC3692,172.10115,9.40754,,,97.07809495
NGC3718,173.14515,53.06787,,,140.3205285
NGC3729,173.45535,53.12568,,,86.52095269
NGC3755,174.13905,36.41031,,,86.52095269
NGC3756,174.2007,54.29333,,,57.16381777
NGC3757,174.26205,58.41542,,,34.44460411
NGC3773,174.55425,12.11216,,,36.90806596
NGC3786,174.92685,31.90768,,,58.49533285
NGC3788,174.9369,31.92973,,,59.85786288
NGC3794,175.2252,56.20218,,,61.25213027
NGC3795,175.02825,58.61319,,,62.6788915
NGC3796,175.1298,60.29894,,,43.36318979
NGC3813,175.32765,36.54669,,,64.13886902
NGC3838,176.0571,57.94808,,,42.37612401
NGC3846A,176.06175,55.035,,,58.49533285
NGC3870,176.4858,50.19983,,,30.69878909
NGC3898,177.31365,56.08403,,,104.021046
NGC3938,178.2057,44.1208,,,106.4440051
NGC3941,178.2306,36.98636,,,104.021046
NGC3945,178.3071,60.67556,,,164.8622658
NGC3952,178.41915,-3.99634,,,48.65430719
NGC3953,178.45425,52.32653,,,184.9784843
NGC3972,178.93785,55.32072,,,108.9234021
NGC3982,179.11725,55.12493,,,64.13886902
NGC3990,179.3985,55.45854,,,41.41152657
NGC3998,179.484,55.45356,,,82.62687199
NGC4013,179.6307,43.94673,,,146.9336652
NGC4030,180.09825,-1.1,,,114.0568302
NGC4032,180.1368,20.07392,,,40.46888603
NGC4036,180.3621,61.89569,,,146.9336652
NGC4037,180.34875,13.40086,,,71.96498678
NGC4038,180.47085,-18.86799,,,161.109546
NGC4039,180.4734,-18.88642,,,161.109546
NGC4045,180.6762,1.9767,,,77.11186756
NGC4051,180.79035,44.53121,,,146.9336652
NGC4067,181.04805,10.85433,,,33.66054993
NGC4100,181.53585,49.5828,,,137.1264463
NGC4102,181.5978,52.71097,,,88.53628263
NGC4111,181.7628,43.06556,,,53.3483823
NGC4116,181.9038,2.69142,,,77.11186756
NGC4117,181.94205,43.12632,,,47.54680099
NGC4119,182.04,10.37897,,,47.54680099
NGC4123,182.0463,2.87825,,,94.86832981
NGC4125,182.025,65.1741,,,176.6530888
NGC4138,182.37405,43.68527,,,88.53628263
NGC4144,182.49375,46.45731,,,157.4422484
NGC4151,182.63595,39.40579,,,86.52095269
NGC4152,182.6562,16.03282,,,41.41152657
NGC4165,183.04905,13.24642,,,36.90806596
NGC4168,183.072,13.20515,,,88.53628263
NGC4178,183.1932,10.86585,,,140.3205285
NGC4179,183.21705,1.29967,,,134.0050703
NGC4180,183.2625,7.03875,,,43.36318979
NGC4183,183.3204,43.69854,,,127.9738542
NGC4189,183.447,13.42476,,,65.63285376
NGC4191,183.4599,7.20089,,,45.40683197
NGC4192,183.4512,14.89996,,,328.9434299
NGC4193,183.47325,13.17282,,,67.16163784
NGC4194,183.54,54.52654,,,49.7876105
NGC4197,183.66045,5.80529,,,84.55149722
NGC4200,183.68415,12.18073,,,43.36318979
NGC4203,183.77085,33.19722,,,101.6532401
NGC4206,183.82005,13.02386,,,140.3205285
NGC4207,183.87705,9.58488,,,45.40683197
NGC4212,183.91395,13.90135,,,84.55149722
NGC4214,183.9135,36.32704,,,202.8249127
NGC4215,183.9771,6.40111,,,50.94731181
NGC4216,183.97635,13.14958,,,232.8741273
NGC4217,183.96225,47.0919,,,161.109546
NGC4222,184.0941,13.30724,,,84.55149722
NGC4224,184.14075,7.46214,,,86.52095269
NGC4233,184.28205,7.62438,,,70.32686523
NGC4234,184.2882,3.68315,,,34.44460411
NGC4235,184.2912,7.19157,,,130.9547454
NGC4236,184.17525,69.46257,,,703.2684593
NGC4237,184.2975,15.3239,,,54.59102456
NGC4239,184.3122,16.53137,,,40.46888603
NGC4244,184.37295,37.80716,,,486.5430719
NGC4251,184.5348,28.17526,,,70.32686523
NGC4252,184.6287,5.55947,,,36.0679366
NGC4254,184.70655,14.41641,,,150.3561866
NGC4255,184.73415,4.78592,,,40.46888603
NGC4258,184.74,47.30388,,,509.4731181
NGC4259,184.8426,5.37637,,,30.69878909
NGC4260,184.84275,6.0987,,,75.35658881
NGC4261,184.8459,5.82504,,,127.9738542
NGC4262,184.87755,14.87758,,,52.13402601
NGC4266,184.92615,5.5383,,,59.85786288
NGC4267,184.9389,12.79842,,,77.11186756
NGC4268,184.9467,5.28371,,,45.40683197
NGC4269,184.95495,6.01492,,,36.0679366
NGC4270,184.95585,5.46349,,,55.86261165
NGC4273,184.98345,5.34385,,,65.63285376
NGC4276,185.0313,7.69177,,,40.46888603
NGC4281,185.08965,5.38642,,,86.52095269
NGC4287,185.202,5.63985,,,36.90806596
NGC4289,185.25945,3.72208,,,127.9738542
NGC4292,185.3187,4.59563,,,48.65430719
NGC4294,185.3244,11.51048,,,80.74603437
NGC4298,185.38665,14.6061,,,75.35658881
NGC4299,185.41845,11.50228,,,44.37324726
NGC4300,185.4228,5.38478,,,53.3483823
NGC4302,185.4264,14.59814,,,180.7678639
NGC4303A,185.613,4.56615,,,33.66054993
NGC4305,185.51505,12.74088,,,68.72603185
NGC4306,185.517,12.7875,,,44.37324726
NGC4307,185.5233,9.04361,,,104.021046
NGC4309,185.5515,7.14431,,,58.49533285
NGC4312,185.63055,15.53786,,,150.3561866
NGC4313,185.66055,11.80084,,,114.0568302
NGC4316,185.676,9.33255,,,73.64126504
NGC4321,185.7282,15.82189,,,184.9784843
NGC4322,185.75715,15.90558,,,36.90806596
NGC4324,185.77575,5.25049,,,88.53628263
NGC4328,185.83335,15.82048,,,47.54680099
NGC4330,185.82075,11.36754,,,68.72603185
NGC4339,185.8956,6.08169,,,70.32686523
NGC4340,185.8971,16.72246,,,84.55149722
NGC4341,185.97285,7.10722,,,49.7876105
NGC4342,185.91255,7.05392,,,37.76776443
NGC4343,185.9112,6.95406,,,57.16381777
NGC4350,185.99085,16.69347,,,84.55149722
NGC4351,186.006,12.2046,,,47.54680099
NGC4352,186.02085,11.21806,,,49.7876105
NGC4353,185.99955,7.78444,,,31.41385506
NGC4355,186.72765,-0.87756,,,42.37612401
NGC4356,186.0606,8.53601,,,59.85786288
NGC4359,186.0465,31.52179,,,41.41152657
NGC4365,186.1173,7.31764,,,153.8584287
NGC4370,186.22875,7.44471,,,48.65430719
NGC4371,186.23085,11.70428,,,116.7135525
NGC4374,186.26535,12.88703,,,222.3930748
NGC4376,186.32535,5.74097,,,39.54770259
NGC4377,186.30135,14.76228,,,47.54680099
NGC4378,186.32535,4.92514,,,62.6788915
NGC4379,186.31125,15.60742,,,55.86261165
NGC4380,186.34215,10.01674,,,99.33933208
NGC4383,186.3561,16.4699,,,49.7876105
NGC4385,186.42825,0.5726,,,64.13886902
NGC4387,186.42375,12.81048,,,47.54680099
NGC4388,186.44505,12.66202,,,161.109546
NGC4390,186.4611,10.45895,,,45.40683197
NGC4396,186.49575,15.67109,,,88.53628263
NGC4402,186.5316,13.11312,,,106.4440051
NGC4406,186.549,12.94611,,,344.4460411
NGC4409,186.7437,2.4945,,,54.59102456
NGC4411A,186.62505,8.87167,,,48.65430719
NGC4412,186.65055,3.96474,,,45.40683197
NGC4413,186.6342,12.6106,,,62.6788915
NGC4415,186.6687,8.43567,,,38.64748782
NGC4416,186.69465,7.91881,,,47.54680099
NGC4417,186.71085,9.58424,,,92.70886501
NGC4419,186.73545,15.04726,,,116.7135525
NGC4423,186.78735,5.88011,,,61.25213027
NGC4424,186.79905,9.42018,,,90.59855559
NGC4425,186.80565,12.73482,,,92.70886501
NGC4429,186.8607,11.10753,,,157.4422484
NGC4430,186.85995,6.26282,,,61.25213027
NGC4434,186.90285,8.15431,,,42.37612401
NGC4435,186.9186,13.0789,,,90.59855559
NGC4436,186.92205,12.31602,,,49.7876105
NGC4437,188.18955,0.11462,,,273.6032758
NGC4438,186.94035,13.00884,,,273.6032758
NGC4440,186.9732,12.29322,,,53.3483823
NGC4442,187.01625,9.80368,,,130.9547454
NGC4445,187.0665,9.43629,,,75.35658881
NGC4449,187.0461,44.09324,,,140.3205285
NGC4450,187.12335,17.08499,,,164.8622658
NGC4451,187.1691,9.25882,,,40.46888603
NGC4452,187.18035,11.75505,,,101.6532401
NGC4454,187.2114,-1.93912,,,65.63285376
NGC4457,187.2459,3.57058,,,84.55149722
NGC4458,187.23975,13.24183,,,47.54680099
NGC4459,187.2501,13.97856,,,125.0608164
NGC4460,187.1898,44.86426,,,116.7135525
NGC4461,187.2624,13.18378,,,108.9234021
NGC4464,187.33875,8.15656,,,30.69878909
NGC4468,187.37865,14.04909,,,46.46450469
NGC4469,187.3668,8.74994,,,86.52095269
NGC4470,187.40745,7.8239,,,38.64748782
NGC4472,187.44495,8.00039,,,306.9878909
NGC4473,187.45365,13.4294,,,127.9738542
NGC4474,187.47315,14.06862,,,70.32686523
NGC4476,187.49625,12.34863,,,50.94731181
NGC4477,187.50915,13.6364,,,111.4605822
NGC4478,187.5738,12.3271,,,52.13402601
NGC4479,187.5765,13.57757,,,43.36318979
NGC4480,187.6116,4.24642,,,57.16381777
NGC4482,187.5432,10.77951,,,44.37324726
NGC4483,187.66935,9.01565,,,49.7876105
NGC4486,187.7058,12.39118,,,212.383747
NGC4488,187.71405,8.36011,,,82.62687199
NGC4491,187.7379,11.48348,,,48.65430719
NGC4492,187.74885,8.07769,,,62.6788915
NGC4494,187.85025,25.77468,,,130.9547454
NGC4496A,187.91295,3.9395,,,101.6532401
NGC4497,187.8855,11.62469,,,59.85786288
NGC4498,187.9149,16.85279,,,86.52095269
NGC4501,187.99695,14.42014,,,261.2891114
NGC4502,188.01375,16.68767,,,31.41385506
NGC4503,188.02575,11.17642,,,104.021046
NGC4506,188.04375,13.41963,,,48.65430719
NGC4516,188.28135,14.57494,,,52.13402601
NGC4519,188.37615,8.65445,,,70.32686523
NGC4521,188.1987,63.9392,,,77.11186756
NGC4522,188.41545,9.175,,,104.021046
NGC4525,188.463,30.27756,,,59.85786288
NGC4526,188.51265,7.69921,,,207.5493072
NGC4527,188.53395,2.65334,,,189.2871826
NGC4528,188.5254,11.32123,,,47.54680099
NGC4531,188.5662,13.0754,,,90.59855559
NGC4532,188.5809,6.46756,,,75.35658881
NGC4533,188.59185,2.32539,,,54.59102456
NGC4535,188.5845,8.19775,,,243.8491361
NGC4536,188.61285,2.18791,,,212.383747
NGC4540,188.7117,15.55109,,,65.63285376
NGC4546,188.87295,-3.79328,,,94.86832981
NGC4550,188.87685,12.22119,,,94.86832981
NGC4551,188.9082,12.26397,,,50.94731181
NGC4552,188.916,12.55611,,,243.8491361
NGC4559,188.9904,27.95968,,,314.1385506
NGC4561,189.0339,19.32264,,,39.54770259
NGC4562,188.89425,25.84967,,,57.16381777
NGC4564,189.11235,11.4394,,,94.86832981
NGC4565,189.08655,25.98719,,,497.876105
NGC4567,189.1362,11.25785,,,82.62687199
NGC4568,189.1428,11.23878,,,127.9738542
NGC4569,189.20805,13.16294,,,273.6032758
NGC4570,189.2226,7.2467,,,116.7135525
NGC4571,189.2349,14.21721,,,106.4440051
NGC4578,189.37725,9.55511,,,75.35658881
NGC4579,189.4314,11.818,,,150.3561866
NGC4580,189.45165,5.36841,,,55.86261165
NGC4584,189.5745,13.10988,,,48.65430719
NGC4586,189.6183,4.31902,,,104.021046
NGC4589,189.3543,74.19186,,,88.53628263
NGC4591,189.80175,6.01223,,,42.37612401
NGC4592,189.82815,-0.53196,,,122.2140874
NGC4594,189.99765,-11.62301,,,255.3413806
NGC4595,189.96645,15.29768,,,45.40683197
NGC4596,189.9831,10.17619,,,116.7135525
NGC4606,190.2396,11.91139,,,73.64126504
NGC4607,190.3014,11.88627,,,86.52095269
